title,url,source,published_date,summary,content,collected_at,hash_id
Tecnologia,https://g1.globo.com/tecnologia/,G1 Tecnologia,,,,2025-08-14T01:19:21.424214,ef1eb03520d651e8f6d46a9da7c53e1e
"Projeto de lei contra adultização põe crianças acima do lucro das redes, e não cria 'censura', defende especialista",https://g1.globo.com/tecnologia/noticia/2025/08/13/projeto-de-lei-contra-adultizacao-poe-criancas-acima-do-lucro-das-redes-e-nao-cria-censura-defende-especialista.ghtml,G1 Tecnologia,,,,2025-08-14T01:19:21.424214,52f316cafec846656c15bbdf58b4cfcf
Por que redes sociais têm tantos casos de exposição de crianças mesmo com sistemas de detecção,https://g1.globo.com/tecnologia/noticia/2025/08/13/por-que-redes-sociais-tem-tantos-casos-de-exposicao-de-criancas-mesmo-com-sistemas-de-deteccao.ghtml,G1 Tecnologia,,,,2025-08-14T01:19:21.424214,e19f681e6edbe29109be89dc49142906
Musk diz que processará Apple e acusa empresa de beneficiar o ChatGPT na App Store,https://g1.globo.com/tecnologia/noticia/2025/08/12/musk-diz-que-processara-apple-e-acusa-empresa-de-beneficiar-o-chatgpt-na-app-store.ghtml,G1 Tecnologia,,,,2025-08-14T01:19:21.424214,acd94cb20771ae60f35f6b2d669fd795
Tecnologia,https://g1.globo.com/guia/guia-de-compras/tecnologia/,G1 Tecnologia,,,,2025-08-14T01:19:21.424214,a11c66bacf4a17f39d7ecc615a3c12b3
Inteligência Artificial,https://www1.folha.uol.com.br/tec/inteligencia-artificial/,Folha de S.Paulo - Tec,,,,2025-08-14T01:19:23.988737,c2a3a304b7093a032b1e093e8277f2eb
tecnologia,https://www1.folha.uol.com.br/tec/,Folha de S.Paulo - Tec,,,,2025-08-14T01:19:23.988737,0c22ad01d6f5ef55a72f45a2fb825804
Inteligência artificial,https://www1.folha.uol.com.br/tec/inteligencia-artificial/,Folha de S.Paulo - Tec,,,,2025-08-14T01:19:23.989747,c6c24e2c5ce6dc779399c5472a29633a
Por que os pais deveriam pensar duas vezes antes de postar fotos dos filhos na internet,https://www1.folha.uol.com.br/tec/2025/08/por-que-os-pais-deveriam-pensar-duas-vezes-antes-de-postar-fotos-dos-filhos-na-internet.shtml,Folha de S.Paulo - Tec,,,,2025-08-14T01:19:23.989747,64e15417ce2dafa1008d1755ae265b9b
Álvaro Machado Dias,https://www1.folha.uol.com.br/colunas/alvaro-machado-dias/,Folha de S.Paulo - Tec,,,,2025-08-14T01:19:23.990755,b556fe750b801bb3f09d4f617eba4a51
